Month,Day,Year,Hour,Minute,Time,Sun House,Moon House,Mercury House,Venus House,Mars House,Jupiter House,Saturn House,Uranus House,Neptune House
8,17,1867,21,57,1317,5,12,4,5,6,11,7,3,3
8,17,1867,3,2,182,2,9,2,2,4,9,5,1,1
8,17,1867,19,30,1170,6,1,6,6,7,12,9,5,5
8,17,1867,16,8,968,8,2,7,7,9,2,10,6,6
8,17,1867,16,13,973,8,2,7,7,9,2,10,6,6
8,17,1867,15,26,926,8,3,8,8,9,2,11,7,7
1,3,1867,6,17,377,1,12,12,12,7,2,11,7,7
1,3,1867,21,12,1272,5,4,4,4,11,6,3,11,11
1,3,1867,5,45,345,1,12,12,12,7,2,11,7,7
1,3,1867,17,48,1068,7,6,6,6,1,8,5,12,12
1,3,1867,2,18,138,3,2,2,2,9,4,1,9,9
1,3,1867,0,16,16,4,2,3,3,10,4,2,9,9
1,3,1867,12,36,756,10,8,9,8,4,10,8,3,3
1,3,1867,6,19,379,1,12,12,12,7,2,11,7,7
1,3,1867,12,54,774,9,8,9,8,4,10,7,3,3
1,3,1867,1,15,75,3,2,2,2,10,4,1,9,9
1,3,1867,14,55,895,8,7,7,7,3,9,6,2,2
1,3,1867,17,29,1049,7,6,6,6,1,8,5,1,1
8,16,1867,12,50,770,9,4,9,9,11,4,12,8,8
8,16,1867,7,53,473,12,6,11,11,1,6,3,10,10
8,16,1867,19,55,1195,6,12,5,6,7,12,8,4,4
8,16,1867,21,22,1282,5,12,5,5,6,12,8,4,4
8,16,1867,23,33,1413,4,11,3,4,5,10,7,3,3
8,16,1867,7,6,426,12,6,12,12,2,7,3,11,11
8,16,1867,16,23,983,8,2,7,7,9,2,10,6,6
8,16,1867,8,38,518,11,6,11,11,1,6,2,10,10
8,16,1867,3,22,202,2,8,1,2,3,8,5,1,1
8,16,1867,7,25,445,12,6,11,12,1,6,3,11,11
8,16,1867,7,13,433,12,6,12,12,1,6,3,11,11
8,16,1867,10,34,634,10,5,10,10,12,5,1,9,9
11,25,1867,19,28,1168,6,6,6,6,6,9,6,1,1
11,25,1867,1,0,60,3,3,3,4,4,6,3,11,11
11,25,1867,9,24,564,11,11,11,12,11,2,11,7,7
11,25,1867,8,0,480,12,11,12,12,12,3,12,7,7
11,25,1867,9,6,546,11,11,11,12,12,2,11,7,7
11,25,1867,10,52,652,10,10,10,11,11,1,10,6,6
11,25,1867,22,13,1333,4,4,4,5,5,8,4,12,12
11,25,1867,9,29,569,11,11,11,12,11,2,11,7,7
11,25,1867,20,2,1202,6,5,5,6,6,9,5,1,1
11,25,1867,14,2,842,9,8,8,9,9,12,8,4,4
11,25,1867,5,38,338,1,12,1,2,1,4,1,8,8
11,25,1867,3,29,209,2,1,2,3,2,5,2,9,9
9,10,1867,1,19,79,3,7,3,3,4,9,5,1,1
9,10,1867,15,27,927,8,1,8,8,9,2,10,6,6
9,10,1867,19,28,1168,6,11,6,6,7,12,8,4,4
9,10,1867,1,13,73,3,7,3,3,4,9,5,1,1
9,10,1867,13,9,789,9,2,9,9,10,3,11,7,7
9,10,1867,10,30,630,10,3,10,10,12,4,1,8,8
9,10,1867,4,47,287,1,6,1,1,2,7,3,11,11
9,10,1867,4,16,256,2,6,1,1,3,7,4,11,11
9,10,1867,9,52,592,11,3,11,11,12,4,1,9,9
9,10,1867,20,38,1238,5,10,5,5,6,11,7,3,3
9,10,1867,12,38,758,9,2,9,9,10,3,11,7,7
9,10,1867,10,1,601,11,3,11,11,12,4,1,9,9
6,23,1867,11,40,700,10,6,11,9,12,6,2,10,10
6,23,1867,4,26,266,1,10,2,12,4,10,6,2,2
6,23,1867,11,20,680,10,6,11,9,12,6,3,10,10
6,23,1867,2,10,130,3,11,3,2,5,11,7,3,3
6,23,1867,0,34,34,3,12,4,3,6,12,8,4,4
6,23,1867,20,38,1238,6,2,6,5,8,2,10,6,6
6,23,1867,19,24,1164,6,2,7,5,8,2,11,7,7
6,23,1867,17,15,1035,7,4,8,6,9,3,12,8,8
6,23,1867,2,41,161,2,11,3,1,5,11,7,3,3
6,23,1867,15,57,957,8,4,9,7,10,4,12,8,8
6,23,1867,20,38,1238,6,2,6,5,8,2,10,6,6
6,23,1867,23,45,1425,4,12,5,3,6,12,8,4,4
8,20,1867,12,8,728,10,6,9,9,11,4,12,8,8
8,20,1867,15,24,924,8,4,8,8,9,2,11,7,7
8,20,1867,12,56,776,9,5,9,9,11,4,12,8,8
8,20,1867,11,36,696,10,6,9,10,11,4,1,9,9
8,20,1867,2,49,169,2,10,2,2,4,9,5,1,1
8,20,1867,22,17,1337,5,12,4,4,6,11,7,3,3
8,20,1867,10,13,613,11,6,10,10,12,5,1,9,9
8,20,1867,15,39,939,8,4,7,8,9,2,11,7,7
8,20,1867,15,7,907,8,4,8,8,9,2,11,7,7
8,20,1867,23,46,1426,4,12,3,4,5,10,6,2,2
8,20,1867,14,22,862,9,4,8,8,10,3,11,7,7
8,20,1867,15,55,955,8,4,7,8,9,2,10,6,6
2,8,1867,11,17,677,10,12,10,9,3,10,7,3,3
2,8,1867,18,25,1105,7,8,6,5,11,6,4,11,11
2,8,1867,16,37,997,7,9,7,6,12,7,5,12,12
2,8,1867,10,57,657,10,12,10,9,3,10,7,3,3
2,8,1867,16,52,1012,7,9,7,6,12,7,4,12,12
2,8,1867,13,55,835,9,10,9,7,2,9,6,1,1
